Name,Indexed Name,Current Affiliation,Document count,Citations Count,Subject of Interest,Keywords
ThomasRückstieß,Rückstieß T.,"Technical University of Munich, Institut für Informatik",5,234,"['Computer Science (all)', 'Control and Systems Engineering', 'Software', 'Statistics and Probability', 'Theoretical Computer Science', 'Artificial Intelligence', 'Computer Vision and Pattern Recognition']","['Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning', 'Recurrent neural networks', 'Wind energy prediction']"
Thomas W.Sandholm,Sandholm T.,Carnegie Mellon University,294,5550,"['Computer Science (all)', 'Logic', 'Transplantation', 'Management Science and Operations Research', 'Computer Graphics and Computer-Aided Design', 'Software', 'Control and Systems Engineering', 'Applied Mathematics', 'Signal Processing', 'Safety, Risk, Reliability and Quality', 'Mathematics (all)', 'Management Information Systems', 'Finance', 'Computer Science Applications', 'Multidisciplinary', 'Computational Mathematics', 'Engineering (all)', 'Information Systems and Management', 'Hardware and Architecture', 'Marketing', 'Immunology and Allergy', 'Statistics and Probability', 'Biochemistry, Genetics and Molecular Biology (all)', 'Artificial Intelligence', 'Pharmacology (medical)', 'Communication', 'Strategy and Management', 'Computational Theory and Mathematics', 'Economics, Econometrics and Finance (all)', 'Computer Science (miscellaneous)', 'Business and International Management', 'Biotechnology', 'Information Systems', 'Industrial and Manufacturing Engineering', 'Computer Vision and Pattern Recognition', 'Control and Optimization', 'Economics and Econometrics', 'Business, Management and Accounting (miscellaneous)', 'Drug Discovery', 'Ecology, Evolution, Behavior and Systematics', 'Management of Technology and Innovation', 'Theoretical Computer Science', 'Medicine (all)', 'Human-Computer Interaction', 'Computer Networks and Communications']","['Exploration', 'Machine learning', 'Multiagent learning', ""Prisoner's Dilemma"", 'Recurrent neural network', 'Reinforcement learning']"
Robert H.Crites,Crites R.,"Unica Technologies, Inc",3,339,"['Computer Science (all)', 'Ecology, Evolution, Behavior and Systematics', 'Drug Discovery', 'Computational Theory and Mathematics', 'Hardware and Architecture', 'Biotechnology', 'Theoretical Computer Science', 'Electrical and Electronic Engineering']","['Exploration', 'Machine learning', 'Multiagent learning', ""Prisoner's Dilemma"", 'Recurrent neural network', 'Reinforcement learning']"
Johan A.K.Suykens,Suykens J.,"KU Leuven, Department of Electrical Engineering",442,13302,"['Atomic and Molecular Physics, and Optics', 'Physical and Theoretical Chemistry', 'Theoretical Computer Science', 'Communication', 'Physics and Astronomy (all)', 'Decision Sciences (miscellaneous)', 'Management of Technology and Innovation', 'Civil and Structural Engineering', 'Obstetrics and Gynecology', 'Computer Vision and Pattern Recognition', 'Biophysics', 'Genetics', 'Finance', 'Sensory Systems', 'Computer Networks and Communications', 'Chemical Health and Safety', 'Biochemistry', 'Library and Information Sciences', 'Environmental Engineering', 'Medicine (miscellaneous)', 'Biomedical Engineering', 'Health Information Management', 'Neurology (clinical)', 'Artificial Intelligence', 'Radiology, Nuclear Medicine and Imaging', 'Mathematics (all)', 'Management Information Systems', 'Statistics and Probability', 'Molecular Biology', 'Management, Monitoring, Policy and Law', 'Software', 'Instrumentation', 'Information Systems and Management', 'Chemical Engineering (all)', 'Cellular and Molecular Neuroscience', 'Safety, Risk, Reliability and Quality', 'Computer Science (all)', 'Physiology (medical)', 'Computer Science Applications', 'Computational Mechanics', 'Biotechnology', 'Hardware and Architecture', 'Spectroscopy', 'Reproductive Medicine', 'Genetics (clinical)', 'Computer Science (miscellaneous)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Strategy and Management', 'Aerospace Engineering', 'Statistics, Probability and Uncertainty', 'Electronic, Optical and Magnetic Materials', 'Modeling and Simulation', 'Business, Management and Accounting (miscellaneous)', 'Space and Planetary Science', 'Radiological and Ultrasound Technology', 'Computational Theory and Mathematics', 'Bioengineering', 'Engineering (miscellaneous)', 'Building and Construction', 'Molecular Medicine', 'Cognitive Neuroscience', 'Health Informatics', 'Condensed Matter Physics', 'Human-Computer Interaction', 'Management Science and Operations Research', 'Transportation', 'Engineering (all)', 'Media Technology', 'Energy (all)', 'Analytical Chemistry', 'Mathematical Physics', 'Neurology', 'Linguistics and Language', 'Signal Processing', 'Development', 'Medicine (all)', 'Control and Optimization', 'Environmental Chemistry', 'Statistical and Nonlinear Physics', 'Mechanical Engineering', 'Acoustics and Ultrasonics', 'Multidisciplinary', 'Clinical Biochemistry', 'Electrical and Electronic Engineering', 'Neuroscience (all)', 'Information Systems', 'Education', 'Epidemiology', 'Control and Systems Engineering', 'Agricultural and Biological Sciences (all)', 'Structural Biology', 'Numerical Analysis', 'Industrial and Manufacturing Engineering', 'Arts and Humanities (miscellaneous)', 'Economics, Econometrics and Finance (miscellaneous)', 'Computational Mathematics', 'Astronomy and Astrophysics', 'Applied Mathematics']","['Feedforward and recurrent neural networks', 'Kernel based methods', 'Neural control', 'Regularization', 'Ridge regression', 'Robust estimation', 'Statistical learning theory', 'Support vector machines']"
Felix A.Gers,Gers F.,Mantik Bioinformatik GmbH,17,1220,"['Computer Science (all)', 'Computational Mathematics', 'Theoretical Computer Science', 'Applied Mathematics', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Neuroscience (all)', 'Computational Theory and Mathematics', 'Artificial Intelligence', 'Engineering (all)', 'Numerical Analysis', 'Software', 'Hardware and Architecture']","['Context-free languages (CFLs)', 'Context-sensitive languages (CSLs)', 'Long short-term memory (LSTM)', 'Recurrent neural networks (RNNs)']"
LiDeng,Deng L.,Microsoft Research,262,9657,"['Computer Graphics and Computer-Aided Design', 'Theoretical Computer Science', 'Business, Management and Accounting (all)', 'Artificial Intelligence', 'Language and Linguistics', 'Human-Computer Interaction', 'Sensory Systems', 'Linguistics and Language', 'Decision Sciences (all)', 'Computer Science (miscellaneous)', 'Media Technology', 'Experimental and Cognitive Psychology', 'Biomedical Engineering', 'Information Systems and Management', 'Arts and Humanities (miscellaneous)', 'Cognitive Neuroscience', 'Hardware and Architecture', 'Computer Science Applications', 'Signal Processing', 'Computational Theory and Mathematics', 'Engineering (all)', 'Control and Systems Engineering', 'Modeling and Simulation', 'Electrical and Electronic Engineering', 'Computational Mathematics', 'Computer Science (all)', 'Communication', 'Information Systems', 'Computer Networks and Communications', 'Acoustics and Ultrasonics', 'Music', 'Economics, Econometrics and Finance (all)', 'Software', 'Applied Mathematics', 'Speech and Hearing', 'Computer Vision and Pattern Recognition']","['Algorithms', 'Deep learning', 'Information processing', 'Algorithms', 'Deep learning', 'Information processing']"
SamyBengio,Bengio S.,Google LLC,170,7347,"['Communication', 'Biochemistry, Genetics and Molecular Biology (all)', 'Visual Arts and Performing Arts', 'Molecular Biology', 'Hardware and Architecture', 'Earth and Planetary Sciences (miscellaneous)', 'Language and Linguistics', 'Computational Theory and Mathematics', 'Statistics and Probability', 'Astronomy and Astrophysics', 'Electrical and Electronic Engineering', 'Cognitive Neuroscience', 'Artificial Intelligence', 'Computer Science (miscellaneous)', 'Computer Science Applications', 'Structural Biology', 'Control and Systems Engineering', 'Media Technology', 'Engineering (all)', 'Software', 'Computer Science (all)', 'Applied Mathematics', 'Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Neuroscience (all)', 'Signal Processing', 'Business, Management and Accounting (all)', 'Information Systems', 'Acoustics and Ultrasonics', 'Space and Planetary Science', 'Human-Computer Interaction', 'Atmospheric Science', 'Experimental and Cognitive Psychology', 'Computer Networks and Communications', 'Modeling and Simulation', 'Music', 'Theoretical Computer Science', 'Cellular and Molecular Neuroscience', 'Linguistics and Language']",[]
OriolVinyals,Vinyals O.,DeepMind Technologies Limited,66,5754,"['Communication', 'Control and Systems Engineering', 'Statistics and Probability', 'Modeling and Simulation', 'Software', 'Medicine (all)', 'Computer Science Applications', 'Human-Computer Interaction', 'Theoretical Computer Science', 'Computer Graphics and Computer-Aided Design', 'Artificial Intelligence', 'Speech and Hearing', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications', 'Information Systems', 'Sociology and Political Science', 'Electrical and Electronic Engineering', 'Acoustics and Ultrasonics', 'Sensory Systems', 'Linguistics and Language', 'Physical and Theoretical Chemistry', 'Signal Processing', 'Applied Mathematics', 'Computational Theory and Mathematics', 'Language and Linguistics']",[]
Navdeep D.Jaitly,Jaitly N.,Google LLC,54,5514,"['Microbiology', 'Library and Information Sciences', 'Genetics', 'Speech and Hearing', 'Earth and Planetary Sciences (all)', 'Artificial Intelligence', 'Applied Microbiology and Biotechnology', 'Arts and Humanities (all)', 'Chemistry (all)', 'Computational Mathematics', 'Structural Biology', 'Clinical Biochemistry', 'Software', 'Human-Computer Interaction', 'Control and Systems Engineering', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Theory and Mathematics', 'Modeling and Simulation', 'Statistics and Probability', 'Medicine (all)', 'Health Information Management', 'Agricultural and Biological Sciences (all)', 'Analytical Chemistry', 'Biochemistry', 'Hardware and Architecture', 'Biotechnology', 'Computer Science Applications', 'Language and Linguistics', 'Computer Science (all)', 'Electrical and Electronic Engineering', 'Music', 'Computer Networks and Communications', 'Atomic and Molecular Physics, and Optics', 'Information Systems', 'Applied Mathematics', 'Molecular Biology', 'Physical and Theoretical Chemistry', 'Theoretical Computer Science', 'Communication', 'Signal Processing', 'Chemical Engineering (all)']",[]
Noam M.Shazeer,Shazeer N.,Google LLC,14,426,"['Language and Linguistics', 'Electrical and Electronic Engineering', 'Software', 'Modeling and Simulation', 'Information Systems', 'Artificial Intelligence', 'Computer Networks and Communications', 'Human-Computer Interaction', 'Computational Theory and Mathematics', 'Signal Processing', 'Computer Vision and Pattern Recognition']",[]
ShipingWen,Wen S.,"Huazhong University of Science and Technology, School of Automation",71,1123,"['Control and Systems Engineering', 'Numerical Analysis', 'Industrial and Manufacturing Engineering', 'Media Technology', 'Computational Mathematics', 'Biomedical Engineering', 'Computer Vision and Pattern Recognition', 'Computer Science (all)', 'Computer Networks and Communications', 'Ocean Engineering', 'Software', 'Aerospace Engineering', 'Mechanical Engineering', 'Engineering (all)', 'Human-Computer Interaction', 'Computer Graphics and Computer-Aided Design', 'Applied Mathematics', 'Signal Processing', 'Artificial Intelligence', 'Electrical and Electronic Engineering', 'Control and Optimization', 'Modeling and Simulation', 'Energy Engineering and Power Technology', 'Theoretical Computer Science', 'Physics and Astronomy (all)', 'Information Systems', 'Cognitive Neuroscience', 'Computer Science Applications', 'Computational Theory and Mathematics', 'Information Systems and Management', 'Instrumentation', 'Chemical Engineering (all)', 'Neuroscience (all)']","['Memristor', 'Recurrent neural networks', 'Synchronization', 'Time-varying delays', '(Un)bounded distributed delays', 'Discrete delays', 'Inertial memristive recurrent neural networks', 'Stabilization', 'Memristive neural network', 'Memristor', 'Stability', 'Memristive neural network', 'Memristor', 'Stability']"
GangBao,Bao G.,"China Three Gorges University, Hubei Key Laboratory of Cascaded Hydropower Stations Operation and Control",16,302,"['Cognitive Neuroscience', 'Computational Theory and Mathematics', 'Software', 'Computer Graphics and Computer-Aided Design', 'Instrumentation', 'Control and Systems Engineering', 'Neuroscience (all)', 'Artificial Intelligence', 'Electrical and Electronic Engineering', 'Applied Mathematics', 'Information Systems', 'Computer Networks and Communications', 'Control and Optimization', 'Signal Processing', 'Computer Science Applications']","['Memristor', 'Recurrent neural networks', 'Synchronization', 'Time-varying delays', '(Un)bounded distributed delays', 'Discrete delays', 'Inertial memristive recurrent neural networks', 'Stabilization', 'Memristive neural network', 'Memristor', 'Stability', 'Memristive neural network', 'Memristor', 'Stability']"
ZhigangZeng,Zeng Z.,Ministry of Education China,282,2741,"['Geometry and Topology', 'Modeling and Simulation', 'Earth and Planetary Sciences (miscellaneous)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Human-Computer Interaction', 'Computer Networks and Communications', 'Applied Mathematics', 'Ocean Engineering', 'Aerospace Engineering', 'Industrial and Manufacturing Engineering', 'Theoretical Computer Science', 'Control and Systems Engineering', 'Numerical Analysis', 'Geology', 'Computational Mechanics', 'Electrical and Electronic Engineering', 'Artificial Intelligence', 'Cognitive Neuroscience', 'Computational Mathematics', 'Physics and Astronomy (all)', 'Business and International Management', 'Multidisciplinary', 'Safety, Risk, Reliability and Quality', 'Neuroscience (all)', 'Computer Science Applications', 'Information Systems and Management', 'Energy Engineering and Power Technology', 'Environmental Science (all)', 'Algebra and Number Theory', 'Chemical Engineering (all)', 'Control and Optimization', 'Environmental Chemistry', 'Arts and Humanities (miscellaneous)', 'Mechanical Engineering', 'Hardware and Architecture', 'Signal Processing', 'Computer Science (miscellaneous)', 'Cellular and Molecular Neuroscience', 'Computer Science (all)', 'Software', 'Geotechnical Engineering and Engineering Geology', 'Computer Graphics and Computer-Aided Design', 'Analysis', 'Engineering (all)', 'Atmospheric Science', 'Information Systems', 'Environmental Engineering', 'Computer Vision and Pattern Recognition', 'Mathematics (all)', 'Biomedical Engineering', 'Engineering (miscellaneous)', 'Strategy and Management', 'Computational Theory and Mathematics', 'Water Science and Technology', 'Instrumentation']","['Memristor', 'Recurrent neural networks', 'Synchronization', 'Time-varying delays', '(Un)bounded distributed delays', 'Discrete delays', 'Inertial memristive recurrent neural networks', 'Stabilization', 'Memristive neural network', 'Memristor', 'Stability', 'Memristive neural network', 'Memristor', 'Stability']"
YiranChen,Chen Y.,"Duke University, Department of Electrical & Computer Engineering",302,3088,"['Hardware and Architecture', 'Computational Theory and Mathematics', 'Atomic and Molecular Physics, and Optics', 'Physics and Astronomy (all)', 'Economics, Econometrics and Finance (all)', 'Information Systems', 'Industrial and Manufacturing Engineering', 'Mathematical Physics', 'Modeling and Simulation', 'Media Technology', 'Acoustics and Ultrasonics', 'Metals and Alloys', 'Control and Optimization', 'Statistical and Nonlinear Physics', 'Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Safety, Risk, Reliability and Quality', 'Electrical and Electronic Engineering', 'Human-Computer Interaction', 'Mechanical Engineering', 'Computer Networks and Communications', 'Computer Science (all)', 'Condensed Matter Physics', 'Business, Management and Accounting (all)', 'Software', 'Engineering (miscellaneous)', 'Energy Engineering and Power Technology', 'Artificial Intelligence', 'Materials Chemistry', 'Theoretical Computer Science', 'Control and Systems Engineering', 'Applied Mathematics', 'Physics and Astronomy (miscellaneous)', 'Chemistry (all)', 'Engineering (all)', 'Materials Science (all)', 'Health (social science)', 'Renewable Energy, Sustainability and the Environment', 'Biomedical Engineering', 'Signal Processing', 'Surfaces, Coatings and Films', 'Multidisciplinary', 'Electronic, Optical and Magnetic Materials', 'Neuroscience (all)', 'Information Systems and Management', 'Cognitive Neuroscience', 'Computer Science Applications', 'Health Informatics']","['Memristor', 'Recurrent neural networks', 'Synchronization', 'Time-varying delays', '(Un)bounded distributed delays', 'Discrete delays', 'Inertial memristive recurrent neural networks', 'Stabilization', 'Memristive neural network', 'Memristor', 'Stability', 'Memristive neural network', 'Memristor', 'Stability']"
TingwenHuang,Huang T.,Texas A and M University at Qatar,509,5208,"['Human-Computer Interaction', 'Computer Networks and Communications', 'Ocean Engineering', 'Artificial Intelligence', 'Industrial and Manufacturing Engineering', 'Atomic and Molecular Physics, and Optics', 'Renewable Energy, Sustainability and the Environment', 'Aerospace Engineering', 'Numerical Analysis', 'Decision Sciences (miscellaneous)', 'Computer Vision and Pattern Recognition', 'Logic', 'Algebra and Number Theory', 'Computational Mechanics', 'Computational Mathematics', 'Strategy and Management', 'Physical and Theoretical Chemistry', 'Energy Engineering and Power Technology', 'Neuroscience (all)', 'Safety, Risk, Reliability and Quality', 'Computational Theory and Mathematics', 'Automotive Engineering', 'Medicine (all)', 'Cognitive Neuroscience', 'Biochemistry, Genetics and Molecular Biology (all)', 'Management Science and Operations Research', 'Physics and Astronomy (all)', 'Control and Optimization', 'Mechanical Engineering', 'Condensed Matter Physics', 'Statistics and Probability', 'Physics and Astronomy (miscellaneous)', 'Engineering (all)', 'Business and International Management', 'Multidisciplinary', 'Biomedical Engineering', 'Applied Mathematics', 'Chemical Health and Safety', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Software', 'Discrete Mathematics and Combinatorics', 'Analysis', 'Mathematical Physics', 'Chemical Engineering (all)', 'Mechanics of Materials', 'Instrumentation', 'Mathematics (all)', 'Signal Processing', 'Information Systems and Management', 'Materials Science (all)', 'Computer Science (miscellaneous)', 'Engineering (miscellaneous)', 'Hardware and Architecture', 'Economics, Econometrics and Finance (all)', 'Geometry and Topology', 'Theoretical Computer Science', 'Computer Graphics and Computer-Aided Design', 'Electronic, Optical and Magnetic Materials', 'Education', 'Computer Science (all)', 'Information Systems', 'Modeling and Simulation', 'Computer Science Applications', 'Statistical and Nonlinear Physics']","['Memristor', 'Recurrent neural networks', 'Synchronization', 'Time-varying delays', '(Un)bounded distributed delays', 'Discrete delays', 'Inertial memristive recurrent neural networks', 'Stabilization', 'Memristive neural network', 'Memristor', 'Stability', 'Memristive neural network', 'Memristor', 'Stability']"
